Battery,Cycle,Voltage,Current,Temperature,Capacity,SOH,RUL,SOC
B0040,1,3.2570770872838057,-2.496194310605518,34.520854008155766,0.6734628137095633,100.0,45,100.0
B0040,2,3.435168668765134,-1.9461397110184737,34.02922924081149,0.7913062105760345,117.4981297359786,44,117.4981297359786
B0040,3,3.4309758033508495,-1.9452201291903763,34.012090723638956,0.7865824034601745,116.79670910521796,43,116.79670910521796
B0040,4,3.4348636528845424,-1.9447435736678282,33.978388906178346,0.7795871426061582,115.75800871796345,42,115.75800871796345
B0040,5,3.445308801417867,-1.9174672773069694,33.83721613724266,0.7628241523125163,113.26893434705528,41,113.26893434705528
B0040,6,3.458759767508341,-1.8880936368724701,33.67935609685469,0.7405021514606399,109.95442307821139,40,109.95442307821139
B0040,7,3.344897364124835,-2.4160677054793758,34.856675647434145,0.7783970881100656,115.5813019315059,39,115.5813019315059
B0040,8,3.435394313904374,-1.9695300241186464,33.93437846177736,0.7733165409025605,114.82691028521434,38,114.82691028521434
B0040,9,3.4407328862516335,-1.9553056005388323,33.87341008861747,0.7589575236409498,112.69479297015157,37,112.69479297015157
B0040,10,3.4424940628831777,-1.9401168646905238,33.801632457231946,0.7407399462256391,109.98973234253282,36,109.98973234253282
B0040,11,3.4441875855764166,-1.954173143017623,33.841214598826475,0.7446218752617147,110.56614561391945,35,110.56614561391945
B0040,12,3.458256040593686,-1.8954416195145705,33.68915739169769,0.7149875629820736,106.16585629186916,34,106.16585629186916
B0040,13,3.624872673514505,-0.9641877110703866,44.27504698193625,1.7075144448533202,253.54249857508847,33,253.54249857508847
B0040,14,3.6219123150772736,-0.9482972559679383,46.496780020843715,1.730880859428193,257.01209097116543,32,257.01209097116543
B0040,15,3.621615017492515,-0.9497815137936721,46.4678468881245,1.7328212845233328,257.30021750994956,31,257.30021750994956
B0040,16,3.622864388629409,-0.9494868615948265,46.45190241544343,1.7317734323431513,257.1446258189385,30,257.1446258189385
B0040,17,3.6220494199910203,-0.9521447667439508,46.440231939332925,1.7341296392350067,257.49449025746287,29,257.49449025746287
B0040,18,3.622162963654601,-0.9505422244648805,46.465222077063906,1.7334756929990074,257.39738820183527,28,257.39738820183527
B0040,19,3.629361907913309,-0.9652916551188272,46.49072067213048,1.7243057179457875,256.0357725540893,27,256.0357725540893
B0040,20,3.6234871903936696,-0.9515172757333835,46.47888431603475,1.7318975861687205,257.1630609608709,26,257.1630609608709
B0040,21,3.6222932883799372,-0.9513915692974558,46.45480276183313,1.7333691208377457,257.38156369614734,25,257.38156369614734
B0040,22,3.622128684193048,-0.9510427335186784,46.423098338329766,1.732175650153278,257.20434965252497,24,257.20434965252497
B0040,23,3.6212784001178204,-0.9524743606309494,46.417883981463206,1.7334832776102866,257.39851441268536,23,257.39851441268536
B0040,24,3.6222214851987244,-0.95386146065853,46.41962937983974,1.732372495746513,257.2335785259279,22,257.2335785259279
B0040,25,3.621600293236707,-0.9551274962002001,46.437216774742105,1.7338175297202416,257.44814627106723,21,257.44814627106723
B0040,26,3.621303558836112,-0.9535557918067024,46.440515516123355,1.7329630786357868,257.32127199277585,20,257.32127199277585
B0040,27,3.6217314334668362,-0.9547864424869567,46.438246093452804,1.7318839084573339,257.161030008143,19,257.161030008143
B0040,28,3.6224802575418096,-0.9544935502891163,46.419799968945064,1.7306960059812662,256.984642767172,18,256.984642767172
B0040,29,3.6227913336348077,-0.95437046004151,46.41925960985013,1.7296011601947467,256.82207316952946,17,256.82207316952946
B0040,30,3.6219039988656228,-0.9556526843949636,46.442880190211326,1.7296187381064656,256.8246832485659,16,256.8246832485659
B0040,31,3.6231487093600996,-0.9540072055241993,46.455010751151,1.7307198617163877,256.98818501696456,15,256.98818501696456
B0040,32,3.620727454558004,-0.9537643838011659,46.42899601057106,1.729274556175907,256.7735769478835,14,256.7735769478835
B0040,33,3.620851281939705,-0.9552956614335978,46.44608315517329,1.7297962212599596,256.85103706497284,13,256.85103706497284
B0040,34,3.6223530356435982,-0.9549687460528705,46.477279245422224,1.7268942069037494,256.4201276966849,12,256.4201276966849
B0040,35,3.621799074855713,-0.9564508369268612,46.50566493668475,1.7272191689306016,256.46838010501943,11,256.46838010501943
B0040,36,3.620827200366945,-0.9560639609053613,46.489529302216496,1.7285674981160106,256.6685885141493,10,256.6685885141493
B0040,37,3.6206286090197306,-0.9559267781293634,46.47422502580763,1.726636381605547,256.3818441726426,9,256.3818441726426
B0040,38,3.620461858040284,-0.955732355842102,46.467598009037445,1.7262424141835067,256.32334540863957,8,256.32334540863957
B0040,39,3.6207850957418692,-0.9557348422192878,46.50711933936233,1.7252725927602899,256.1793402158547,7,256.1793402158547
B0040,40,3.4599911073457075,-1.8959184882594955,48.821116047310866,1.6668026877455053,247.4973604799995,6,247.4973604799995
B0040,41,3.459413541721385,-1.888918960223662,48.862739172817825,1.666754853762041,247.4902577888797,5,247.4902577888797
B0040,42,3.4606411813742883,-1.8816448898300142,48.859668212563015,1.6583274448761054,246.23890304228047,4,246.23890304228047
B0040,43,3.4619795504624093,-1.8804793058771856,48.84759659003841,1.65032263550715,245.0502985334638,3,245.0502985334638
B0040,44,3.4582381856512225,-1.8804459095886619,48.86015453747502,1.6493406341242296,244.9044847835536,2,244.9044847835536
B0040,45,3.460434749861773,-1.8794616528353505,48.85593683732135,1.641919055037739,243.80248198021977,1,243.80248198021977
B0040,46,3.7482973521924325,-1.045884107237702,49.04132294442338,0.425812451177779,63.22731448709421,0,63.22731448709421
B0040,47,3.653849277043623,-1.3616845329264926,50.17313973556242,0.5569902643736575,82.705422338859,-1,82.705422338859
B0029,1,3.3651860477851834,-3.9753962170197243,51.631545591665024,1.697507332205763,100.0,39,100.0
B0029,2,3.3905928994464873,-3.9342485526057955,52.84944288631656,1.844701206961174,108.67117755327426,38,108.67117755327426
B0029,3,3.3944582472061784,-3.9332952670181975,52.905865867265994,1.8254376674722927,107.53636422296307,37,107.53636422296307
B0029,4,3.394696317253661,-3.932113456162452,52.90438507577814,1.815750429913437,106.96568995398846,36,106.96568995398846
B0029,5,3.398579443319999,-3.931581069158435,52.87534956891003,1.8132993337127028,106.82129610341524,35,106.82129610341524
B0029,6,3.3970260675114696,-3.976472905870513,52.762650424805656,1.8151647619660576,106.93118830935529,34,106.93118830935529
B0029,7,3.4017447799349796,-3.953172457226365,52.78843384352056,1.8143317955190057,106.88211833297,33,106.88211833297
B0029,8,3.400790257856999,-3.952037378872224,52.7841972696045,1.801343601809866,106.11698504236662,32,106.11698504236662
B0029,9,3.4030834056443755,-3.951642628329456,52.751738383515125,1.7881558802945825,105.34009758715031,31,105.34009758715031
